,address,sqm,sqm0,rooms,floor,info,price,more,views,additional,additional0,facilities,data-lat,data-lng,adddate,editdate,id
0," Yerevan, Center, A.Manukyan St ",Area 71 SQ. M.Room 2Floor/Storeys 5/5,,,,"2 bedrooms apartment for sale in A.Manukyan St, Center, Yerevan, 127365","125,000  / SQ. M. 1,761","Price (SQ. M.) 1,761Bathroom1Building typeStone Ceiling height3 MconditionGood ",1228,,,,40.1789765,44.5247991,Added in 02.12.2022 ,Edited in 18.04.2023 ,127365
1," Yerevan, Nor Norq, Norqi ayginer ",Area 630 SQ. M.Room 6Storeys 3,,,," for sale in Norqi ayginer, Nor Norq, Yerevan, 119457",on request ,Home space700 SQ. M.Land area630 SQ. M.Price (SQ. M.)on requestBathroom5+Building typeOther Ceiling height2.8 MconditionGood ,2205,,,,40.188869,44.51339,Added in 01.03.2022 ,Edited in 01.03.2022 ,119457
2," Yerevan, Qanaqer-Zeytun, A.Aharonyan St ",Area 95 SQ. M.Room 3Floor/Storeys 2/15,,,,"3 bedrooms apartment for sale in new construction in A.Aharonyan St, Qanaqer-Zeytun, Yerevan, 128901","185,000  / SQ. M. 1,947","Price (SQ. M.) 1,947Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ",762,"Euro windows--Open balcony--Tile--Laminate flooring--Sunny--Bilateral--Roadside--Close to the bus station--Parking--Playground--Elevator--
","Heating--Hot water--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
",40.2072097,44.5331838,Added in 08.08.2022 ,Edited in 03.02.2023 ,128901
3," Yerevan, Arabkir, Malkhasiants St ",Area 132 SQ. M.Room 4Floor/Storeys 11/13,,,,"4 bedrooms apartment for sale in new construction in Malkhasiants St, Arabkir, Yerevan, 118544","160,000  / SQ. M. 1,212","Price (SQ. M.) 1,212Bathroom2Building typeMonolit Ceiling height3 MconditionZero condition ",2308,,"Iron door--Balcony--Elevator--Euro windows--Sunny--View--Playground--
","Iron door--Balcony--Elevator--Euro windows--Sunny--View--Playground--
",40.210213,44.5077545,Added in 01.02.2022 ,Edited in 01.02.2022 ,118544
4," Yerevan, Center, Mashtots Ave ",Area 40 SQ. M.Room 2Floor/Storeys 2/11,,,,"2 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 127900","150,000  / SQ. M. 3,750","Price (SQ. M.) 3,750Bathroom1Building typePanel Ceiling height2.8 MconditionNewly repaired ",1523,"Euro windows--Tile--View--Close to the bus station--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1842472,44.5120259,Added in 20.12.2022 ,Edited in 20.12.2022 ,127900
5," Yerevan, Qanaqer-Zeytun, Nersisyan dead end ",Area 166 SQ. M.Room 4Floor/Storeys 18/19,,,,"4 bedrooms apartment for sale in new construction in Nersisyan dead end, Qanaqer-Zeytun, Yerevan, 130642","460,000   / SQ. M. 2,771","Price (SQ. M.) 2,771Bathroom3Building typeMonolit Ceiling height3 MconditionNewly repaired ",692,"Euro windows--Iron door--Open balcony--Tile--Laminate flooring--Heated floor--Security system--Sunny--View--Close to the bus station--Elevator--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.2076159,44.5283101,Added in 12.03.2023 ,Edited in 12.03.2023 ,130642
6," Yerevan, Center, Mashtots Ave ",Area 106 SQ. M.Room 4Floor/Storeys 2/5,,,,"4 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 10673","1,500",Bathroom1Building typeOther Ceiling height2.8 MconditionGood ,9329,"Sunny--Tile--Equipment--Furniture--
","Water--water 24/7--Electricity--Hot water--Gas--
","Water--water 24/7--Electricity--Hot water--Gas--
",40.183731,44.5111862,Added in 07.10.2015 ,Edited in 13.08.2020 ,10673
7," Yerevan, Erebuni, Erebuni St ",Area 100 SQ. M.Room 4Floor/Storeys 1/5,,,,"4 bedrooms apartment for rent in Erebuni St, Erebuni, Yerevan, 132944",954,Bathroom1Building typeStone Ceiling height3 MconditionGood ,146,"Euro windows--Equipment--Furniture--
","Water--water 24/7--Electricity--Internet--Gas--Heating--
","Water--water 24/7--Electricity--Internet--Gas--Heating--
",40.14177143,44.52382313,Added in 25.04.2023 ,Edited in 25.04.2023 ,132944
8," Yerevan, Arabkir, Kievyan St ",Area 210 SQ. M.Room 4Floor/Storeys 4/4,,,,"4 bedrooms apartment for sale in new construction in Kievyan St, Arabkir, Yerevan, 127485","220,000  / SQ. M. 1,048","Price (SQ. M.) 1,048Bathroom3Building typeStone Ceiling height3.2 MconditionNewly repaired ",1376,"Furniture--Equipment--Euro windows--Open balcony--Storage room--Tile--Laminate flooring--Parquet--Sunny--View--Roadside--Close to the bus station--Parking--Park--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1932499,44.4847527,Added in 02.12.2022 ,Edited in 02.12.2022 ,127485
9," Yerevan, Center, Mashtots Ave ",Area 47 SQ. M.Room 1Floor/Storeys 6/12,,,,"1 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 128024","1,000",Bathroom1Building typePanel Ceiling height2.8 MconditionGood ,1180,"Furniture--Equipment--Open balcony--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--water 24/7--
",40.1822527,44.5081994,Added in 27.12.2022 ,Edited in 27.12.2022 ,128024
10," Yerevan, Avan, Abovyan dis ",Area 300 SQ. M.Room 4Storeys 2,,,,"New build for sale in Abovyan dis, Avan, Yerevan, 129830","340,000  / SQ. M. 1,133","Home space185 SQ. M.Land area300 SQ. M.Price (SQ. M.) 1,133Bathroom3Building typeMonolit Ceiling height3 Mcondition Newly repaired ",857,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Sunny--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
",40.1811834,44.515699,Added in 27.02.2023 ,Edited in 27.02.2023 ,129830
11," Yerevan, Center, Aygestan 11 St ",Area 763 SQ. M.Room 4Storeys 1,,,," for sale in Aygestan 11 St, Center, Yerevan, 95008","190,000  / SQ. M. 249",Home space96 SQ. M.Land area763 SQ. M.Price (SQ. M.) 249Bathroom1Building typeStone Ceiling height3.2 MconditionGood ,5806,"Basement--
","Sewerage, Canalization--Water--water 24/7--Electricity--Internet--Hot water--Gas--Heating--
","Sewerage, Canalization--Water--water 24/7--Electricity--Internet--Hot water--Gas--Heating--
",40.18699485,44.52773086,Added in 25.02.2020 ,Edited in 20.04.2021 ,95008
12," Yerevan, Center, D. Demirchyan St ",Area 55 SQ. M.Room 2Floor/Storeys 4/6,,,,"2 bedrooms apartment for rent in D. Demirchyan St, Center, Yerevan, 131939","1,500",Bathroom1Building typeOther Ceiling height3 MconditionNewly repaired ,286,"Furniture--Equipment--Euro windows--Iron door--Tile--Parquet--Sunny--View--Bilateral--Roadside--Close to the bus station--Parking--Playground--Park--Elevator--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1906596,44.5076125,Added in 03.04.2023 ,Edited in 03.04.2023 ,131939
13," Yerevan, Erebuni, Rostovyan St ",Area 36 SQ. M.Room 1Floor/Storeys 3/5,,,,"1 bedrooms apartment for sale in Rostovyan St, Erebuni, Yerevan, 127108","79,000  / SQ. M. 2,194","Price (SQ. M.) 2,194Bathroom1Building typeStone Ceiling height2.8 MconditionNewly repaired ",1452,"Furniture--Equipment--Euro windows--Open balcony--Tile--Laminate flooring--Sunny--
","Heating--Hot water--Electricity--Gas--water 24/7--
","Heating--Hot water--Electricity--Gas--water 24/7--
",40.150581,44.5162853,Added in 24.11.2022 ,Edited in 17.04.2023 ,127108
14," Yerevan, Arabkir, Keri St ",Area 150 SQ. M.Room 3Floor/Storeys 4/14,,,,"3 bedrooms apartment for rent in new construction in Keri St, Arabkir, Yerevan, 121189","3,200",Bathroom3Building typeMonolit Ceiling height3 MconditionNewly repaired ,1413,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Parquet--Swimming pool--Sunny--View--Close to the bus station--Garage--Playground--Park--Elevator--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.1996483,44.486669,Added in 26.04.2022 ,Edited in 15.10.2022 ,121189
15," Yerevan, Arabkir, Mamikoniants St ",Area 74 SQ. M.Room 3Floor/Storeys 2/5,,,,"3 bedrooms apartment for sale in Mamikoniants St, Arabkir, Yerevan, 124832","160,000  / SQ. M. 2,162","Price (SQ. M.) 2,162Bathroom1Building typeStone Ceiling height3.2 MconditionNewly repaired ",1858,,,,40.209317,44.5172587,Added in 23.08.2022 ,Edited in 04.03.2023 ,124832
16," Yerevan, Center, Teryan St ",Area 125 SQ. M.Room 5Floor/Storeys 5/5,,,,"5 bedrooms apartment for rent in Teryan St, Center, Yerevan, 59905","1,500",Bathroom1Building typeStone Ceiling height2.8 MconditionNewly repaired ,9849,"Furniture--Equipment--Open balcony--Sunny--View--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
",40.1792461,44.5095374,Added in 27.07.2018 ,Edited in 16.07.2019 ,59905
17," Yerevan, Center, Saryan St ",Area 92 SQ. M.Room 2Floor/Storeys 4/4,,,,"2 bedrooms apartment for sale in Saryan St, Center, Yerevan, 129906","270,000  / SQ. M. 2,935","Price (SQ. M.) 2,935Bathroom2Building typeStone Ceiling height2.8 MconditionNewly repaired ",635,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Parquet--View--Bilateral--
","Heating--Hot water--Gas--
","Heating--Hot water--Gas--
",40.1837158,44.5040248,Added in 28.02.2023 ,Edited in 28.02.2023 ,129906
18," Yerevan, Center, Nalbandyan St ",Area 49 SQ. M.Floor/Storeys 1/5,,,,"Commercial propertyfor rent in Nalbandyan St, Center, Yerevan, 128241","1,000",Into building49 SQ. M.Building typeOther Ceiling height2.8 MconditionNewly repaired  ,803,"Euro windows--Close to the bus station--Playground--Park--
","Internet--Hot water--Electricity--Air-conditioner--Water--water 24/7--
","Internet--Hot water--Electricity--Air-conditioner--Water--water 24/7--
",40.183333,44.516667,Added in 13.01.2023 ,Edited in 13.01.2023 ,128241
19," Yerevan, Malatia-Sebastia, Kurxinyan alley ",Area 90 SQ. M.Room 4Floor/Storeys 1/5,,,,"4 bedrooms apartment for sale in Kurxinyan alley, Malatia-Sebastia, Yerevan, 126717","130,000  / SQ. M. 1,444","Price (SQ. M.) 1,444Bathroom2Building typeStone Ceiling height2.8 MconditionGood ",977,"Iron door--Garage--Basement--
","Hot water--Gas--Heating--
","Hot water--Gas--Heating--
",40.1662279,44.4651836,Added in 16.11.2022 ,Edited in 16.11.2022 ,126717
20," Yerevan, Arabkir, Malkhasiants St ",Area 77 SQ. M.Room 2Floor/Storeys 12/14,,,,"2 bedrooms apartment for sale in new construction in Malkhasiants St, Arabkir, Yerevan, 132603","215,000  / SQ. M. 2,792","Price (SQ. M.) 2,792Bathroom1Building typeMonolit Ceiling height3 MconditionZero condition ",270,"Euro windows--Open balcony--Sunny--View--Roadside--Close to the bus station--Playground--Park--Elevator--
","Heating--Hot water--Irrigation--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Irrigation--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
",40.21217939,44.50397795,Added in 17.04.2023 ,Edited in 17.04.2023 ,132603
21," Yerevan, Center, Aram St ",Area 250 SQ. M.Floor/Storeys 2/12,,,,"Commercial propertyfor rent in new construction in Aram St, Center, Yerevan, 128815",on request ,Into building250 SQ. M.Building typeMonolit Ceiling height3.2 MconditionGood ,839,,,,40.1791268,44.5146865,Added in 03.02.2023 ,Edited in 03.02.2023 ,128815
22," Yerevan, Center, Tigran Mets Ave ",Area 80 SQ. M.Room 4Floor/Storeys 4/5,,,,"4 bedrooms apartment for rent in Tigran Mets Ave, Center, Yerevan, 88979","1,500",Bathroom1Building typeStone Ceiling height2.6 MconditionNewly repaired ,1321,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Parquet--Sunny--Parking--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.1641158,44.5126401,Added in 20.11.2019 ,Edited in 09.01.2023 ,88979
23," Yerevan, Center, Spendiaryan St ",Area 40 SQ. M.Room 2Floor/Storeys 4/5,,,,"2 bedrooms apartment for rent in Spendiaryan St, Center, Yerevan, 126586","1,700",Bathroom1Building typeStone Ceiling height3 MconditionNewly repaired ,945,,,,40.187477,44.5123773,Added in 12.11.2022 ,Edited in 12.11.2022 ,126586
24," Yerevan, Achapnyak, G 1 dis. ",Area 513 SQ. M.Room 4Storeys 3,,,,"New build house for rent in G 1 dis., Achapnyak, Yerevan, 128213","1,800",Home space180 SQ. M.Land area513 SQ. M.Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ,1091,"Furniture--Equipment--Euro windows--Open balcony--Tile--Security system--Close to the bus station--Fence--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.2199708,44.4359686,Added in 12.01.2023 ,Edited in 12.01.2023 ,128213
25," Yerevan, Arabkir, Kievyan St ",Area 152 SQ. M.Floor/Storeys 1/5,,,,"Commercial property for sale in Kievyan St, Arabkir, Yerevan, 132499",on request ,Into building152 SQ. M.Price (SQ. M.)on requestBuilding typeStone Ceiling height3 MconditionGood ,181,"Grating --Basement--Tile--Security system--Close to the bus station--High first floor--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.183333,44.516667,Added in 14.04.2023 ,Edited in 14.04.2023 ,132499
26," Yerevan, Center, Aram St ",Area 146 SQ. M.Room 3Floor/Storeys 8/10,,,,"3 bedrooms apartment for rent in new construction in Aram St, Center, Yerevan, 31918","2,300",Bathroom1Building typeOther Ceiling height3.2 MconditionNewly repaired ,5378,"Furniture--Equipment--Euro windows--Loggia--Open balcony--Tile--Heated floor--Sunny--Elevator--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1801152,44.5128465,Added in 06.12.2016 ,Edited in 04.04.2023 ,31918
27," Yerevan, Arabkir, Keri St ",Area 250 SQ. M.Room 4Storeys 2,,,,"New build for sale in Keri St, Arabkir, Yerevan, 117736","515,000  / SQ. M. 2,060","Home space280 SQ. M.Land area250 SQ. M.Price (SQ. M.) 2,060Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ",3535,"Equipment--Furniture--
","Sewerage, Canalization--Water--water 24/7--Electricity--Internet--Hot water--Gas--Heating--
","Sewerage, Canalization--Water--water 24/7--Electricity--Internet--Hot water--Gas--Heating--
",40.2002107,44.4869919,Added in 07.01.2022 ,Edited in 29.08.2022 ,117736
28," Yerevan, Avan, Tsarav Aghbyur St ",Area 3162 SQ. M.Room 7+Storeys 3,,,,"New build for sale in Tsarav Aghbyur St, Avan, Yerevan, 82032","2,500,000  / SQ. M. 791",Home space45 SQ. M.Land area3162 SQ. M.Price (SQ. M.) 791Bathroom5+Building typeMonolit Ceiling height3 MconditionNewly repaired ,9737,"Furniture--Equipment--Euro windows--Grating --Iron door--Loggia--Open balcony--Basement--Tile--Laminate flooring--Parquet--Heated floor--Security system--Sunny--View--Bilateral--Close to the bus station--Parking--Garage--Playground--Park--Building existence--Gate--Fence--Elevator--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.216355,44.5604054,Added in 29.07.2019 ,Edited in 06.06.2022 ,82032
29," Yerevan, Center, Antarayin St ",Area 120 SQ. M.Room 3Floor/Storeys 5/16,,,,"3 bedrooms apartment for rent in new construction in Antarayin St, Center, Yerevan, 123449","1,354",Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ,2068,"Furniture--Equipment--Euro windows--Open balcony--Tile--Security system--Sunny--View--Roadside--Close to the bus station--Playground--Park--Elevator--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1936828,44.5065926,Added in 06.07.2022 ,Edited in 06.07.2022 ,123449
30," Yerevan, Davtashen, Davtashen 4 district ",Area 84 SQ. M.Room 3Floor/Storeys 7/12,,,,"3 bedrooms apartment for sale in new construction in Davtashen 4 district, Davtashen, Yerevan, 126831","163,000  / SQ. M. 1,940","Price (SQ. M.) 1,940Bathroom1Building typeMonolit Ceiling height2.8 MconditionNewly repaired ",1032,"Furniture--Equipment--Euro windows--Balcony--Tile--Laminate flooring--Sunny--Elevator--
","Heating--Internet--Hot water--Electricity--Gas--water 24/7--
","Heating--Internet--Hot water--Electricity--Gas--water 24/7--
",40.2254881,44.4946577,Added in 17.11.2022 ,Edited in 22.04.2023 ,126831
31," Yerevan, Center, Yekmalyan St ",Area 80 SQ. M.Room 3Floor/Storeys 3/10,,,,"3 bedrooms apartment for rent in Yekmalyan St, Center, Yerevan, 123317","1,800",Bathroom1Building typeMonolit Ceiling height2.8 MconditionNewly repaired ,1865,"Furniture--Equipment--Euro windows--Tile--Sunny--View--Roadside--Close to the bus station--Playground--Park--Elevator--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
",40.1841473,44.5091566,Added in 01.07.2022 ,Edited in 01.07.2022 ,123317
32," Yerevan, Center, Northern (Hyusisayin) Ave ",Area 100 SQ. M.Room 3Floor/Storeys 4/10,,,,"3 bedrooms apartment for rent in Northern (Hyusisayin) Ave, Center, Yerevan, 10090","2,500",Bathroom1Building typeMonolit Ceiling height2.8 MconditionNewly repaired ,9186,"Furniture--Equipment--Euro windows--Tile--Laminate flooring--Sunny--Elevator--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
",40.1820773,44.5146677,Added in 02.10.2015 ,Edited in 01.08.2020 ,10090
33," Yerevan, Center, Tigran Mets Ave ",Area 78 SQ. M.Room 2Floor/Storeys 1/5,,,,"2 bedrooms apartment for sale in Tigran Mets Ave, Center, Yerevan, 127568","140,000  / SQ. M. 1,795","Price (SQ. M.) 1,795Bathroom1Building typeStone Ceiling height3 MconditionNewly repaired ",1716,"Furniture--Equipment--Sunny--View--Roadside--Close to the bus station--Playground--Park--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.1658586,44.5131713,Added in 08.12.2022 ,Edited in 08.12.2022 ,127568
34," Yerevan, Avan, Avan-Arinj 1 micro ",Area 110 SQ. M.Room 4Floor/Storeys 8/10,,,,"4 bedrooms apartment for sale in Avan-Arinj 1 micro, Avan, Yerevan, 126014","90,000  / SQ. M. 818",Price (SQ. M.) 818Bathroom1Building typePanel Ceiling height3 MconditionNewly repaired ,1604,,,,40.2220541,44.5734868,Added in 20.10.2022 ,Edited in 02.11.2022 ,126014
35," Yerevan, Arabkir, Arxutyan St ",Area 80 SQ. M.Room 3Floor/Storeys 10/14,,,,"3 bedrooms apartment for sale in new construction in Arxutyan St, Arabkir, Yerevan, 131000","155,000  / SQ. M. 1,938","Price (SQ. M.) 1,938Bathroom2Building typeMonolit Ceiling height3 MconditionZero condition ",770,,"Euro windows--Parking--Security system--Iron door--Elevator--Open balcony--
","Euro windows--Parking--Security system--Iron door--Elevator--Open balcony--
",40.2123101,44.5048036,Added in 17.03.2023 ,Edited in 17.03.2023 ,131000
36," Yerevan, Center, Argishti St ",Area 87 SQ. M.Room 3Floor/Storeys 5/14,,,,"3 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 133216","195,000  / SQ. M. 2,241","Price (SQ. M.) 2,241Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ",141,"Furniture--Equipment--Euro windows--Open balcony--Sunny--View--Parking--Playground--Park--High first floor--Elevator--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
",40.183333,44.516667,Added in 29.04.2023 ,Edited in 29.04.2023 ,133216
37," Yerevan, Malatia-Sebastia, Noy district ",Area 470 SQ. M.Room 7+Storeys 4,,,," house for rent in Noy district, Malatia-Sebastia, Yerevan, 131662","3,000",Home space650 SQ. M.Land area470 SQ. M.Bathroom3Building typeStone Ceiling height3 MconditionNewly repaired ,745,,,,40.183333,44.516667,Added in 29.03.2023 ,Edited in 29.03.2023 ,131662
38," Yerevan, Center, Buzand St ",Area 45 SQ. M.Room 2Floor/Storeys 5/17,,,,"2 bedrooms apartment for sale in new construction in Buzand St, Center, Yerevan, 126553","240,000  / SQ. M. 5,333","Price (SQ. M.) 5,333Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ",1307,"Furniture--Equipment--Euro windows--Iron door--Tile--Laminate flooring--Security system--Sunny--Roadside--Close to the bus station--Playground--Park--Elevator--
","Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1834936,44.506629,Added in 11.11.2022 ,Edited in 11.11.2022 ,126553
39," Yerevan, Center, Mashtots Ave ",Area 94 SQ. M.Room 3Floor/Storeys 5/10,,,,"3 bedrooms apartment for sale in Mashtots Ave, Center, Yerevan, 121012","210,000  / SQ. M. 2,234","Price (SQ. M.) 2,234Bathroom1Building typePanel Ceiling height3 MconditionNewly repaired ",1369,,,,40.1822527,44.5081994,Added in 19.04.2022 ,Edited in 19.04.2022 ,121012
40," Yerevan, Center, Israelyan St ",Area 55 SQ. M.Room 2Floor/Storeys 6/10,,,,"2 bedrooms apartment for sale in Israelyan St, Center, Yerevan, 127456","130,000  / SQ. M. 2,364","Price (SQ. M.) 2,364Bathroom1Building typePanel Ceiling height2.8 MconditionGood ",1062,,,,40.1774593,44.5014149,Added in 05.12.2022 ,Edited in 05.12.2022 ,127456
41," Yerevan, Shengavit, Lazo St alley ",Area 95 SQ. M.Room 4Storeys 3,,,,"New build for sale in Lazo St alley, Shengavit, Yerevan, 118056","180,000  / SQ. M. 1,895","Home space95 SQ. M.Land area95 SQ. M.Price (SQ. M.) 1,895Bathroom1Building typeMonolit Ceiling height3 MconditionZero condition ",1914,,,,40.1568785,44.5001584,Added in 18.01.2022 ,Edited in 18.01.2022 ,118056
42," Kotayk, Jrvejh, 1th aygegortsakan dist. ",Area 507 SQ. M.Room 5Storeys 3,,,," for sale in 1th aygegortsakan dist., Jrvejh, Kotayk, 121847","120,000  / SQ. M. 237",Home space406 SQ. M.Land area507 SQ. M.Price (SQ. M.) 237Bathroom2Building typeStone Ceiling height2.8 MconditionGood ,1330,"Close to the bus station--View--Sunny--Open balcony--
","Water--water 24/7--Electricity--Gas--Heating--
","Water--water 24/7--Electricity--Gas--Heating--
",40.1888299,44.6242438,Added in 20.05.2022 ,Edited in 20.05.2022 ,121847
43," Yerevan, Arabkir, A. Khachatrian St ",Area 60 SQ. M.Room 2Floor/Storeys 11/16,,,,"2 bedrooms apartment for rent in new construction in A. Khachatrian St, Arabkir, Yerevan, 132266","1,600",Bathroom1Building typeMonolit Ceiling height2.8 MconditionNewly repaired ,289,,,,40.2030209,44.4911347,Added in 05.10.2022 ,Edited in 10.04.2023 ,132266
44," Yerevan, Center, Tumanyan 1 passage ",Area 100 SQ. M.Room 4Floor/Storeys 1/5,,,,"4 bedrooms apartment for sale in Tumanyan 1 passage, Center, Yerevan, 128346","300,000  / SQ. M. 3,000","Price (SQ. M.) 3,000Bathroom1Building typeStone Ceiling height2.8 MconditionGood ",1171,"Furniture--Equipment--Heater--Euro windows--Grating --Basement--Bilateral--Close to the bus station--High first floor--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
",40.19475275,44.51569833,Added in 12.01.2023 ,Edited in 12.01.2023 ,128346
45," Yerevan, Center, Argishti St ",Area 37 SQ. M.Room 1Floor/Storeys 10/14,,,,"1 bedrooms apartment for rent in new construction in Argishti St, Center, Yerevan, 92024",700,Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ,6630,,,,40.1744247,44.502529,Added in 13.01.2020 ,Edited in 15.04.2023 ,92024
46," Yerevan, Center, Tumanyan St ",Area 126 SQ. M.Floor/Storeys 2/4,,,,"Commercial propertyfor rent in Tumanyan St, Center, Yerevan, 126441","4,500",Into building126 SQ. M.Building typeStone Ceiling height3.2 MconditionNewly repaired ,954,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Parquet--Sunny--View--Roadside--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1873417,44.5102544,Added in 04.11.2022 ,Edited in 04.11.2022 ,126441
47," Yerevan, Achapnyak, Gevorg Chaush St ",Area 36 SQ. M.Room 3Storeys 2,,,,"New build for sale in Gevorg Chaush St, Achapnyak, Yerevan, 110900","140,000  / SQ. M. 3,889","Home space170 SQ. M.Land area36 SQ. M.Price (SQ. M.) 3,889Bathroom2Building typeStone Ceiling height2.8 MconditionGood ",4624,"Euro windows--Grating --Iron door--Attic--Heated floor--Security system--Sunny--Roadside--Parking--Garage--Fence--
","Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.2125867,44.46524637,Added in 28.05.2021 ,Edited in 28.05.2021 ,110900
48," Yerevan, Center, A.Manukyan St ",Area 105 SQ. M.Room 3Floor/Storeys 5/6,,,,"3 bedrooms apartment for rent in A.Manukyan St, Center, Yerevan, 7699",800,Bathroom1Building typeStone Ceiling height3 MconditionNewly repaired ,8696,"Sunny--Elevator--Equipment--Furniture--
","Water--water 24/7--Electricity--Air-conditioner--Internet--Hot water--Gas--Heating--
","Water--water 24/7--Electricity--Air-conditioner--Internet--Hot water--Gas--Heating--
",40.1798593,44.5250268,Added in 29.08.2015 ,Edited in 07.11.2019 ,7699
