,address,sqm,sqm0,rooms,floor,info,price,more,views,additional,additional0,facilities,data-lat,data-lng,adddate,editdate,id
5522," Yerevan, Arabkir, A. Khachatrian St ",Area 74 SQ. M.Room 2Floor/Storeys 1/10,,,,"2 bedrooms apartment for sale in A. Khachatrian St, Arabkir, Yerevan, 127933","90,000  / SQ. M. 1,216","Price (SQ. M.) 1,216Bathroom1Building typePanel Ceiling height2.6 MconditionGood ",1559,,,,40.2053451,44.4984591,Added in 21.12.2022 ,Edited in 29.04.2023 ,127933
5523," Yerevan, Arabkir, Komitas Ave ",Area 93 SQ. M.Room 3Floor/Storeys 4/7,,,,"3 bedrooms apartment for rent in Komitas Ave, Arabkir, Yerevan, 63927",750,Bathroom1Building typeStone Ceiling height3.2 MconditionNewly repaired ,6660,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Parquet--Sunny--Close to the bus station--Playground--Park--Elevator--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
",40.207941,44.516318,Added in 19.10.2018 ,Edited in 13.04.2021 ,63927
5524," Yerevan, Arabkir, V.Papazyan St ",Area 500 SQ. M.Floor/Storeys 17/17,,,,"Commercial propertyfor rent in new construction in V.Papazyan St, Arabkir, Yerevan, 132481",on request ,Into building500 SQ. M.Building typeOther Ceiling height3 MconditionNewly repaired ,285,,,,40.2053369,44.5003688,Added in 14.04.2023 ,Edited in 14.04.2023 ,132481
5525," Yerevan, Center, Moskovyan St ",Area 93 SQ. M.Room 3Floor/Storeys 4/4,,,,"3 bedrooms apartment for rent in Moskovyan St, Center, Yerevan, 126408","2,000",Bathroom1Building typeStone Ceiling height3.8 MconditionGood ,1189,"Furniture--Equipment--Open balcony--Balcony--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Irrigation--Sewerage, Canalization--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
",40.186663,44.513287,Added in 05.11.2022 ,Edited in 05.11.2022 ,126408
5526," Yerevan, Arabkir, Adonts St ",Area 62 SQ. M.Room 1Floor/Storeys 14/14,,,,"1 bedrooms apartment for rent in Adonts St, Arabkir, Yerevan, 128612",650,Bathroom2Building typePanel Ceiling height2.8 MconditionNewly repaired ,907,"Furniture--Equipment--
","Heating--Gas--Electricity--water 24/7--
","Heating--Gas--Electricity--water 24/7--
",40.2130106,44.5227739,Added in 28.01.2023 ,Edited in 28.01.2023 ,128612
5527," Yerevan, Center, Mashtots Ave ",Area 103 SQ. M.Room 3Floor/Storeys 2/5,,,,"3 bedrooms apartment for rent in Mashtots Ave, Center, Yerevan, 10241","2,500",Bathroom1Building typeStone Ceiling height2.8 MconditionNewly repaired ,9347,"Furniture--Equipment--Open balcony--Tile--Laminate flooring--Sunny--View--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.183731,44.5111862,Added in 05.10.2015 ,Edited in 08.07.2019 ,10241
5528," Yerevan, Center, Antarayin St ",Area 155 SQ. M.Room 4Floor/Storeys 4/6,,,,"4 bedrooms apartment for sale in new construction in Antarayin St, Center, Yerevan, 128037","560,000  / SQ. M. 3,613","Price (SQ. M.) 3,613Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ",1645,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Tile--Security system--Sunny--View--Bilateral--Elevator--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Gas--Water--water 24/7--
",40.1936828,44.5065926,Added in 28.12.2022 ,Edited in 07.03.2023 ,128037
5529," Kotayk, Dzoraghbyur, Village of Dzoraghbyur ",Area 1330 SQ. M.Room 7+Storeys 2,,,," for sale in Village of Dzoraghbyur, Dzoraghbyur, Kotayk, 126198","210,000  / SQ. M. 158",Home space454 SQ. M.Land area1330 SQ. M.Price (SQ. M.) 158Bathroom2Building typeStone Ceiling height2.8 MconditionGood ,1000,,,,40.2044033,44.6461114,Added in 29.10.2022 ,Edited in 29.10.2022 ,126198
5530," Yerevan, Achapnyak, G 1 dis. ",Area 300 SQ. M.Room 4Storeys 2,,,," house for rent in G 1 dis., Achapnyak, Yerevan, 124548","1,800",Home space150 SQ. M.Land area300 SQ. M.Bathroom2Building typeMonolit Ceiling height3 MconditionNewly repaired ,3464,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Storage room--Basement--Tile--Laminate flooring--Heated floor--Security system--Swimming pool--Sunny--View--Close to the bus station--Parking--Garage--Gate--Fence--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.2199708,44.4359686,Added in 11.07.2022 ,Edited in 08.08.2022 ,124548
5531," Yerevan, Center, Sayat-Nova Ave ",Area 93 SQ. M.Room 3Floor/Storeys 3/11,,,,"3 bedrooms apartment for sale in Sayat-Nova Ave, Center, Yerevan, 127091","195,000  / SQ. M. 2,097","Price (SQ. M.) 2,097Bathroom1Building typePanel Ceiling height2.8 MconditionZero condition ",1652,,,,40.1820619,44.5208837,Added in 24.11.2022  ,Edited in 24.11.2022 ,127091
5532," Yerevan, Center, Pushkin St ",Area 48 SQ. M.Room 2Floor/Storeys 2/9,,,,"2 bedrooms apartment for rent in Pushkin St, Center, Yerevan, 125548",736,Bathroom1Building typePanel Ceiling height2.8 MconditionNewly repaired ,1718,"Furniture--Equipment--Euro windows--Tile--Sunny--View--Roadside--Close to the bus station--Playground--Park--Elevator--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1826419,44.5130054,Added in 26.09.2022 ,Edited in 26.09.2022 ,125548
5533," Yerevan, Center, Ghazar Parpetsi St ",Area 168 SQ. M.Room 4Floor/Storeys 3/4,,,,"4 bedrooms apartment for sale in Ghazar Parpetsi St, Center, Yerevan, 128549","426,000  / SQ. M. 2,536","Price (SQ. M.) 2,536Bathroom1Building typeOther Ceiling height3.2 MconditionGood ",1177,"Furniture--Equipment--Fireplace--Euro windows--Open balcony--Parquet--Sunny--View--Roadside--Close to the bus station--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
","Heating--Hot water--Electricity--Gas--Water--water 24/7--
",40.1853204,44.5104481,Added in 25.01.2023 ,Edited in 25.01.2023 ,128549
5534," Yerevan, Center, Charents St ",Area 96 SQ. M.Room 3Storeys 2,,,," for sale in Charents St, Center, Yerevan, 125322","120,000  / SQ. M. 1,250","Home space96 SQ. M.Land area96 SQ. M.Price (SQ. M.) 1,250Bathroom1Building typeStone Ceiling height2.8 MconditionNewly repaired ",1859,,"Water--water 24/7--Electricity--Hot water--Gas--
","Water--water 24/7--Electricity--Hot water--Gas--
",40.1693929,44.5243433,Added in 15.09.2022 ,Edited in 15.09.2022 ,125322
5535," Yerevan, Center, E. Qochar St ",Area 1092 SQ. M.Floor/Storeys 1/10,,,,"Commercial property for sale in E. Qochar St, Center, Yerevan, 100070","863,000  / SQ. M. 790",Into building1092 SQ. M.Price (SQ. M.) 790Building typePanel Ceiling height2.8 MconditionNewly repaired ,3361,"Euro windows--Iron door--Tile--Sunny--View--Close to the bus station--Playground--Park--
","Hot water--Electricity--Gas--Water--water 24/7--
","Hot water--Electricity--Gas--Water--water 24/7--
",40.1710182,44.5183508,Added in 12.07.2020 ,Edited in 12.07.2020 ,100070
5536," Yerevan, Center, Vardanants St ",Area 82 SQ. M.Room 3Floor/Storeys 2/4,,,,"3 bedrooms apartment for rent in Vardanants St, Center, Yerevan, 10267",800,Bathroom1Building typeStone Ceiling height2.8 MconditionGood ,7256,"Tile--Euro windows--Equipment--Furniture--
","Water--water 24/7--Air-conditioner--Internet--Gas--Heating--
","Water--water 24/7--Air-conditioner--Internet--Gas--Heating--
",40.1739979,44.5213035,Added in 05.10.2015 ,Edited in 01.08.2020 ,10267
5537," Yerevan, Arabkir, V.Vagharshyan St ",Area 430 SQ. M.,,,,"Land for sale sale in V.Vagharshyan St, Arabkir, Yerevan, 107056","387,000  / SQ. M. 900",Price (SQ. M.) 900,2701,,"Water--Sewerage, Canalization--Electricity--water 24/7--
","Water--Sewerage, Canalization--Electricity--water 24/7--
",40.2017171,44.499469,Added in 16.07.2019 ,Edited in 06.02.2021 ,107056
5538," Yerevan, Center, Moskovyan St ",Area 80 SQ. M.Room 3Floor/Storeys 5/5,,,,"3 bedrooms apartment for rent in Moskovyan St, Center, Yerevan, 119663","1,100",Bathroom1Building typeStone Ceiling height3 MconditionNewly repaired ,1807,"Furniture--Equipment--Euro windows--Iron door--Open balcony--Sunny--View--Close to the bus station--Park--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Gas--Water--water 24/7--
",40.187697,44.5113186,Added in 08.03.2022 ,Edited in 08.03.2022 ,119663
5539," Yerevan, Center, Buzand St ",Area 100 SQ. M.Room 3Floor/Storeys 7/12,,,,"3 bedrooms apartment for sale in new construction in Buzand St, Center, Yerevan, 132231","570,000  / SQ. M. 5,700","Price (SQ. M.) 5,700Bathroom2Building type Monolit Ceiling height3 MconditionZero condition ",592,"Euro windows--Iron door--Open balcony--Security system--Sunny--View--Bilateral--Roadside--Close to the bus station--Parking--Elevator--
","Electricity--Water--water 24/7--
","Electricity--Water--water 24/7--
",40.1759827,44.5174415,Added in 09.04.2023 ,Edited in 09.04.2023 ,132231
5540," Yerevan, Achapnyak, Leningradyan St ",Area 57 SQ. M.Room 2Floor/Storeys 15/15,,,,"2 bedrooms apartment for sale in new construction in Leningradyan St, Achapnyak, Yerevan, 130706","170,000  / SQ. M. 2,982","Price (SQ. M.) 2,982Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ",681,,,,40.183333,44.516667,Added in 13.03.2023 ,Edited in 13.03.2023 ,130706
5541," Yerevan, Avan, Tsarav Aghbyur St ",Area 111 SQ. M.Room 3Floor/Storeys 12/14,,,,"3 bedrooms apartment for sale in Tsarav Aghbyur St, Avan, Yerevan, 125626","207,408  / SQ. M. 1,869","Price (SQ. M.) 1,869Bathroom1Building typeMonolit Ceiling height2.8 MconditionNewly repaired ",1105,"Equipment--Furniture--
","Gas--Heating--
","Gas--Heating--
",40.2164853,44.5512643,Added in 29.09.2022 ,Edited in 29.09.2022 ,125626
5542," Yerevan, Arabkir, Adonts St ",Area 75 SQ. M.Room 3Floor/Storeys 15/18,,,,"3 bedrooms apartment for sale in new construction in Adonts St, Arabkir, Yerevan, 129808","195,000  / SQ. M. 2,600","Price (SQ. M.) 2,600Bathroom1Building typeMonolit Ceiling height3 MconditionNewly repaired ",762,,,,40.2124197,44.5229777,Added in 24.02.2023 ,Edited in 24.02.2023 ,129808
5543," Yerevan, Center, Vardanants St ",Area 611 SQ. M.,,,,"Commercial property for sale in Vardanants St, Center, Yerevan, 131489","1,100,000  / SQ. M. 1,800","Building area (Out of building)611 SQ. M.Price (SQ. M.) 1,800Building typeMonolit Ceiling height3 MconditionNewly repaired ",416,,,,40.1682119,44.5222177,Added in 25.03.2023 ,Edited in 25.03.2023 ,131489
5544," Yerevan, Center, Israelyan St ",Area 128 SQ. M.Room 4Floor/Storeys 6/10,,,,"4 bedrooms apartment for rent in Israelyan St, Center, Yerevan, 120826","1,800",Bathroom1Building typePanel Ceiling height2.8 MconditionGood ,2102,"Furniture--Equipment--Euro windows--Open balcony--Tile--Sunny--View--Roadside--Close to the bus station--Playground--Park--Elevator--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Electricity--Air-conditioner--Central heating--Gas--Water--water 24/7--
",40.1774593,44.5014149,Added in 13.04.2022 ,Edited in 13.04.2022 ,120826
5545," Yerevan, Center, Aghayan St ",Area 80 SQ. M.Room 3Floor/Storeys 4/5,,,,"3 bedrooms apartment for rent in Aghayan St, Center, Yerevan, 133165","1,100",Bathroom2Building typeStone Ceiling height3 MconditionNewly repaired ,124,"Equipment--Furniture--
","Hot water--Gas--Heating--
","Hot water--Gas--Heating--
",40.1848379,44.5187153,Added in 28.04.2023 ,Edited in 28.04.2023 ,133165
5546," Yerevan, Center, Heratsi St ",Area 50 SQ. M.Room 2Floor/Storeys 2/5,,,,"2 bedrooms apartment for rent in Heratsi St, Center, Yerevan, 131187","1,100",Bathroom1Building typeStone Ceiling height3.2 MconditionNewly repaired ,453,"Furniture--Equipment--Euro windows--Iron door--Sunny--View--Roadside--Close to the bus station--Park--High first floor--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
","Heating--Internet--Hot water--Sewerage, Canalization--Electricity--Air-conditioner--Gas--Water--water 24/7--
",40.1887162,44.5281867,Added in 31.07.2022 ,Edited in 20.03.2023 ,131187
5547," Yerevan, Center, Sayat-Nova Ave ",Area 170 SQ. M.Floor/Storeys 0/5,,,,"Commercial propertyfor rent in Sayat-Nova Ave, Center, Yerevan, 131196","3,000",Into building170 SQ. M.Building typeStone Ceiling height2.8 MconditionZero condition ,434,,,,40.1859987,44.5166374,Added in 20.03.2023 ,Edited in 20.03.2023 ,131196
