,address,rooms,floor,info,price,views,Lat,Lng,adddate,editdate,ListingID_NK,Sqm,pricebysqm,addyear,edityear,addmonth,editmonth,addday,editday,addquarter,editquarter,platform,housetype,type,City,DistrictStreet,District,Street,eurowindows,irondoor,openbalcony,securitysystem,sunny,view,roadside,closetothebusstation,parking,park,elevator,furniture,equipment,balcony,storageroom,playground,parquet,tile,laminateflooring,heating,hotwater,electricity,centralheating,water,water247,gas,airconditioner,sewerage,logha,garage,internet
4053," Yerevan, Arabkir, Shahsuvaryan St ", 3, 9/9,"3 bedrooms apartment for rent in Shahsuvaryan St, Arabkir, Yerevan, 121842",1000,1873.0,40.2078419,44.5242315,2022-05-19,2022-05-19,121842.0,80,,2022,2022,5,5,19,19,2,2,MyRealty.am,apartment,rent, Yerevan," Arabkir,  Shahsuvaryan St ", Arabkir, Shahsuvaryan St ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
4054," Yerevan, Center, Aram St ", 4, 10/12,"4 bedrooms apartment for rent in new construction in Aram St, Center, Yerevan, 10481",2000,10156.0,40.1801152,44.5128465,2015-10-06,2019-06-26,10481.0,135,,2015,2019,6,6,10,26,2,2,MyRealty.am,apartment,rent, Yerevan," Center,  Aram St ", Center, Aram St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4055," Yerevan, Arabkir, Baghramyan av(Arabkir) ", 2, 1/5,"2 bedrooms apartment for sale in Baghramyan av(Arabkir), Arabkir, Yerevan, 132560",145000  ,192.0,40.1963178,44.4935249,2023-03-15,2023-04-17,132560.0,48,3021.0,2023,2023,3,4,15,17,1,2,MyRealty.am,apartment,sale, Yerevan," Arabkir,  Baghramyan av(Arabkir) ", Arabkir, Baghramyan av(Arabkir) ,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4056," Yerevan, Davtashen, Mikoyan St ", 3, 7/18,"3 bedrooms apartment for sale in new construction in Mikoyan St, Davtashen, Yerevan, 131702",123000  ,347.0,40.2219636,44.5038997,2023-01-16,2023-03-30,131702.0,74,1662.0,2023,2023,1,3,16,30,1,1,MyRealty.am,apartment,sale, Yerevan," Davtashen,  Mikoyan St ", Davtashen, Mikoyan St ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
4057," Yerevan, Davtashen, Davtashen 4 district ", 4, 1/9,"4 bedrooms apartment for sale in Davtashen 4 district, Davtashen, Yerevan, 125606",120000  ,1354.0,40.2254881,44.4946577,2022-05-10,2022-09-28,125606.0,74,1622.0,2022,2022,10,9,5,28,4,3,MyRealty.am,apartment,sale, Yerevan," Davtashen,  Davtashen 4 district ", Davtashen, Davtashen 4 district ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4058," Yerevan, Center, Aram St  ", 2, 5/16,"2 bedrooms apartment for rent in new construction in Aram St, Center, Yerevan, 132108",1200,360.0,40.1812627,44.5115928,2023-04-06,2023-04-06,132108.0,63,,2023,2023,6,6,4,4,2,2,MyRealty.am,apartment,rent, Yerevan," Center,  Aram St  ", Center, Aram St  ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4059," Yerevan, Center, Argishti St ", 3, 9/14,"3 bedrooms apartment for sale in new construction in Argishti St, Center, Yerevan, 99055",250000  ,4804.0,40.1737796,44.5042197,2020-06-20,2023-01-05,99055.0,104,2404.0,2020,2023,6,5,20,1,2,2,MyRealty.am,apartment,sale, Yerevan," Center,  Argishti St ", Center, Argishti St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4060," Yerevan, Arabkir, A. Khachatrian St ", 3, 4/9,"3 bedrooms apartment for sale in A. Khachatrian St, Arabkir, Yerevan, 132168",118000  ,246.0,40.2067925,44.5036013,2023-03-26,2023-04-07,132168.0,85,1388.0,2023,2023,3,7,26,4,1,3,MyRealty.am,apartment,sale, Yerevan," Arabkir,  A. Khachatrian St ", Arabkir, A. Khachatrian St ,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4061," Yerevan, Davtashen, Davtashen 1 district ", 3, 2/14,"3 bedrooms apartment for sale in new construction in Davtashen 1 district, Davtashen, Yerevan, 129770",219000  ,721.0,40.183333,44.516667,2023-02-24,2023-02-24,129770.0,78,2808.0,2023,2023,2,2,24,24,1,1,MyRealty.am,apartment,sale, Yerevan," Davtashen,  Davtashen 1 district ", Davtashen, Davtashen 1 district ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4062," Yerevan, Arabkir, A. Khachatrian St ", 2, 9/16,"2 bedrooms apartment for rent in new construction in A. Khachatrian St, Arabkir, Yerevan, 132292",1300,364.0,40.183333,44.516667,2023-04-10,2023-04-10,132292.0,60,,2023,2023,10,10,4,4,4,4,MyRealty.am,apartment,rent, Yerevan," Arabkir,  A. Khachatrian St ", Arabkir, A. Khachatrian St ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
